Nuccore	Superkingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Assembly	Genus_source
OL549188.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Warda	GCA_021536515	Arthrobacter
ON208833.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Iter	GCA_023700065	Arthrobacter
ON970616.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Janeemi	GCA_024825135	Arthrobacter
OP820474.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Tuck	GCA_026724235	Arthrobacter
OQ709218.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Ascela	GCA_029875805	Arthrobacter
OQ709212.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Cassia	GCA_029875585	Arthrobacter
OQ709207.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage JohnDoe	GCA_029875595	Arthrobacter
MH834629.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthobacter virus Yang	GCA_003692475	Arthrobacter
MN703413.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Powerpuff	GCA_009800545	Arthrobacter
MT024869.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Lego	GCA_011756585	Arthrobacter
MT024871.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage YesChef	GCA_011756605	Arthrobacter
MT639653.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Elezi	GCA_014338075	Arthrobacter
MT889375.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Adumb2043	GCA_015044785	Arthrobacter
MT889366.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage London	GCA_015044855	Arthrobacter
MT889376.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Phives	GCA_015044955	Arthrobacter
MW055910.1	Viruses	Uroviricota	Caudoviricetes			Azeevirinae	Yangvirus	Arthrobacter phage Tbone	GCA_016455785	Arthrobacter
JQ086370.1	Viruses	Uroviricota	Caudoviricetes			Hendrixvirinae	Yautsimvirus	Yautsimvirus HK140	GCA_000901015	Enterobacteria
MK494108.1	Viruses	Uroviricota	Caudoviricetes				Yeceytrevirus	Mycobacterium phage Charm	GCA_004520535	Mycobacterium
MN585974.1	Viruses	Uroviricota	Caudoviricetes				Yeceytrevirus	Mycobacterium phage DreamTeam1	GCA_009686165	Mycobacterium
MN585994.1	Viruses	Uroviricota	Caudoviricetes				Yeceytrevirus	Mycobacterium phage SheaKeira	GCA_009688025	Mycobacterium
MN585979.1	Viruses	Uroviricota	Caudoviricetes				Yeceytrevirus	Yeceytrevirus yecey3	GCA_009686265	Mycobacterium
KY448244.1	Viruses	Uroviricota	Caudoviricetes				Yoloswagvirus	Yoloswagvirus yoloswag	GCA_002619345	Erwinia
MW366843.1	Viruses	Uroviricota	Caudoviricetes				Yoloswagvirus	Erwinia phage pEa_SNUABM_5	GCA_016759125	Erwinia
DQ466086.1	Viruses	Uroviricota	Caudoviricetes				Yongloolinvirus	Yongloolinvirus C2	GCA_000870565	Clostridioides
LN681541.1	Viruses	Uroviricota	Caudoviricetes				Yongloolinvirus	Yongloolinvirus MMP01	GCA_001503775	Clostridium
LN681542.1	Viruses	Uroviricota	Caudoviricetes				Yongloolinvirus	Yongloolinvirus MMP03	GCA_001505395	Clostridium
HG531805.1	Viruses	Uroviricota	Caudoviricetes				Yongloolinvirus	Yongloolinvirus CDMH1	GCA_000922715	Clostridium
KU963248.1	Viruses	Uroviricota	Caudoviricetes				Yvonnevirus	Gordonia virus Yvonnetastic	GCA_001754305	Gordonia
MW862981.1	Viruses	Uroviricota	Caudoviricetes				Zetavirus	Microbacterium phage Honk	GCA_019095625	Microbacterium
ON970568.1	Viruses	Uroviricota	Caudoviricetes				Zetavirus	Microbacterium phage Cen1621	GCA_024827815	Microbacterium
MH271320.1	Viruses	Uroviricota	Caudoviricetes				Zetavirus	Zetavirus zeta1847	GCA_003308195	Microbacterium
MZ322020.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Gordonia phage DoctorFroggo	GCA_020492935	Gordonia
ON456337.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Gordonia Phage Sampson	GCA_024371845	Gordonia
ON392159.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Gordonia phage Tardus	GCA_023590915	Gordonia
ON755186.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Gordonia phage APunk	GCA_024752595	Gordonia
OP068342.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Gordonia phage ViaConlectus	GCA_024760855	Gordonia
MK937611.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Zitchvirus verity	GCA_006965265	Gordonia
MK937607.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Zitchvirus zipp	GCA_006965185	Gordonia
MT498036.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Zitchvirus zitch	GCA_013388005	Gordonia
MW314847.1	Viruses	Uroviricota	Caudoviricetes				Zitchvirus	Gordonia phage Delrey21	GCA_016103575	Gordonia
AJ972879.2	Viruses	Uroviricota	Caudoviricetes					Yersinia phage phiR1-37	GCA_000895615	Yersinia
AF304433.1	Viruses	Uroviricota	Caudoviricetes					Lactococcus phage TP901-1	GCA_000838065	Lactococcus
AF448724.1	Viruses	Uroviricota	Caudoviricetes					Sinorhizobium phage PBC5	GCA_000837425	Sinorhizobium
KC814930.1	Viruses	Uroviricota	Caudoviricetes					Shigella phage SfIV	GCA_000913735	Shigella
MW924638.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Fizzles	GCA_018215495	Microbacterium
MW924641.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage SadLad	GCA_018215505	Microbacterium
MW825358.1	Viruses	Uroviricota	Caudoviricetes					Xanthomonas phage vB_XciM_LucasX	GCA_018388955	Xanthomonas
MW862982.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Sicarius2	GCA_019095575	Arthrobacter
MW845760.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_37	GCA_020476585	Erwinia
MW879340.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_48	GCA_020476725	Erwinia
MW879341.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_54	GCA_020476785	Erwinia
MW824410.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 103E44.1	GCA_020476815	Vibrio
MW824411.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 104E43.1	GCA_020476825	Vibrio
MW824412.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 14E30.1	GCA_020476855	Vibrio
MW824413.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 14E30.2	GCA_020476865	Vibrio
MW824414.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 19E33.1	GCA_020476905	Vibrio
MW824417.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 264E42.1	GCA_020477025	Vibrio
MW824418.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 268E42.1	GCA_020477035	Vibrio
MW824420.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 38E33.6a	GCA_020477195	Vibrio
MW824395.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 431E45.1	GCA_020477275	Vibrio
MW824396.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 431E46.1	GCA_020477325	Vibrio
MW824397.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 431E48.2	GCA_020477335	Vibrio
MW824398.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 44E38.1	GCA_020477405	Vibrio
MW824399.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 44E38.2	GCA_020477415	Vibrio
MW824421.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 51E28.1	GCA_020477545	Vibrio
MW824400.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 51E28.4	GCA_020477585	Vibrio
MW824401.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 5P1a	GCA_020477605	Vibrio
MW900438.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage vB_ValP_VA-RY-3	GCA_018535375	Vibrio
MW824403.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 66E30.1	GCA_020477785	Vibrio
MW824404.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 69E27.1	GCA_020477855	Vibrio
MW824402.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 64E30.1	GCA_020477705	Vibrio
MW824405.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 75E35.1	GCA_020483865	Vibrio
MW824427.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 82E32.2	GCA_020483875	Vibrio
MW824428.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 82E32.3	GCA_020483885	Vibrio
MW824429.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage 82E33.2	GCA_020483895	Vibrio
MW862109.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage Medea1	GCA_018726265	Pseudomonas
KC821630.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phi3:1	GCA_002600505	Cellulophaga
MW824430.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage PS10B.1	GCA_020483925	Vibrio
MW824431.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage PS14A.1	GCA_020483935	Vibrio
MW916539.1	Viruses	Uroviricota	Caudoviricetes					Bacteroides phage GEC_vB_Bfr_VA7	GCA_018215415	Bacteroides
MW824432.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage PS17B.1	GCA_020483975	Vibrio
MW824406.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage PS25B.1	GCA_020483985	Vibrio
MW824433.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage PS34B.1	GCA_020484025	Vibrio
MW824434.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage PS65A.1	GCA_020484045	Vibrio
KC821616.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phiSM	GCA_002600465	Cellulophaga
MZ150784.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Zaheer	GCA_019095455	Arthrobacter
KC821634.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phi47:1	GCA_002600525	Cellulophaga
MZ150783.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage A3Wally	GCA_019095505	Microbacterium
MZ150789.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Footloose	GCA_019095525	Microbacterium
MZ150786.2	Viruses	Uroviricota	Caudoviricetes			Bclasvirinae		Mycobacterium phage Knocker	GCA_019095565	Mycobacterium
MZ047271.2	Viruses	Uroviricota	Caudoviricetes					Campylobacter phage PC10	GCA_018726405	Campylobacter
MW960030.1	Viruses	Uroviricota	Caudoviricetes					Rhizobium phage RHph_X66	GCA_020492575	Rhizobium
MZ028627.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage VanLee	GCA_018982705	Gordonia
MW980069.1	Viruses	Uroviricota	Caudoviricetes					Rhizobium phage RHEph19	GCA_020492625	Rhizobium
MZ188970.1	Viruses	Uroviricota	Caudoviricetes					Phage CBW1004C-Prop1	GCA_018603565	Phage
MZ043613.1	Viruses	Uroviricota	Caudoviricetes					Acinetobacter phage TaPaz	GCA_018726295	Acinetobacter
MZ188976.1	Viruses	Uroviricota	Caudoviricetes					Cronobacter phage JK004	GCA_018449085	Cronobacter
MZ209302.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Jojo24	GCA_020495575	Gordonia
MZ078141.1	Viruses	Uroviricota	Caudoviricetes					Anabaena phage Elbi	GCA_018535415	Anabaena
MZ292654.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage ICP1	GCA_020494355	Vibrio
MZ274308.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Popper	GCA_019466265	Arthrobacter
MZ274310.1	Viruses	Uroviricota	Caudoviricetes			Weiservirinae		Mycobacterium phage Boilgate	GCA_019466335	Mycobacterium
MZ326859.2	Viruses	Uroviricota	Caudoviricetes					Stenotrophomonas phage Siara	GCA_020484405	Stenotrophomonas
MZ326866.1	Viruses	Uroviricota	Caudoviricetes					Stenotrophomonas phage Suso	GCA_020484505	Stenotrophomonas
MZ322021.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Cafasso	GCA_020492665	Gordonia
MZ322028.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Posh	GCA_020492975	Gordonia
MZ326864.1	Viruses	Uroviricota	Caudoviricetes					Alcaligenes phage Piluca	GCA_020484115	Alcaligenes
KC736978.1	Viruses	Uroviricota	Caudoviricetes					Shigella phage SfII	GCA_000909715	Shigella
MZ326867.1	Viruses	Uroviricota	Caudoviricetes					Stenotrophomonas phage Silvanus	GCA_020484435	Stenotrophomonas
KC595516.1	Viruses	Uroviricota	Caudoviricetes					Brevibacillus phage Emery	GCA_002603365	Brevibacillus
MZ361826.1	Viruses	Uroviricota	Caudoviricetes					Hydrogenophilus phage vB_LmoS_C996	GCA_021870255	Hydrogenophilus
MZ361827.1	Viruses	Uroviricota	Caudoviricetes					Phage vB_LmoS_P7	GCA_021870275	Phage
MZ348425.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage psageB2	GCA_020484095	Pseudomonas
MZ355724.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Necrophoxinus	GCA_018982615	Microbacterium
MZ422438.1	Viruses	Uroviricota	Caudoviricetes					Listeria phage LPJP1	GCA_020475325	Listeria
MZ398240.1	Viruses	Uroviricota	Caudoviricetes					Stenotrophomonas phage BUCT627	GCA_019466475	Stenotrophomonas
MZ398135.2	Viruses	Uroviricota	Caudoviricetes					Carnobacterium phage cd2	GCA_020474985	Carnobacterium
MZ398136.2	Viruses	Uroviricota	Caudoviricetes					Carnobacterium phage cd3	GCA_020474995	Carnobacterium
MZ399596.2	Viruses	Uroviricota	Caudoviricetes					Carnobacterium phage cd4	GCA_020475005	Carnobacterium
MZ475891.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_13	GCA_020487885	Erwinia
MZ475895.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_14	GCA_020487895	Erwinia
MZ475897.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_21	GCA_020487905	Erwinia
MZ475898.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_25	GCA_020488015	Erwinia
MZ475892.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_34	GCA_020488045	Erwinia
MZ475893.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_45	GCA_020488095	Erwinia
MZ475894.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_46	GCA_020488145	Erwinia
MZ475896.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage pEa_SNUABM_7	GCA_020488175	Erwinia
MZ477002.1	Viruses	Uroviricota	Caudoviricetes					Acinetobacter phage Phab24	GCA_019466085	Acinetobacter
MZ496292.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage PARCL1pr	GCA_020475465	Pseudomonas
MZ496293.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage ST2-1pr	GCA_020475475	Vibrio
MZ496294.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage ST2-2pr	GCA_020475485	Vibrio
MZ456352.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage HNL01	GCA_021870245	Vibrio
KC960489.1	Viruses	Uroviricota	Caudoviricetes					Mycobacterium phage Adler	GCA_027588175	Mycobacterium
MZ456035.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Welcome	GCA_019466605	Microbacterium
MZ456038.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Shlim410	GCA_019466635	Gordonia
MZ456039.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Samman98	GCA_019466645	Gordonia
MZ605292.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage UAntarctica	GCA_025318235	Pseudomonas
MZ605293.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage UAVern	GCA_025318265	Pseudomonas
MZ622161.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Floral	GCA_020493795	Gordonia
MZ622165.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage LonelyBoi	GCA_020493805	Gordonia
KC821610.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phi3ST:2	GCA_002600445	Cellulophaga
MZ622166.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Platte	GCA_020493905	Microbacterium
KC821611.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phi46:1	GCA_000908035	Cellulophaga
MZ501264.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage 274BB002	GCA_020493735	Bacillus
MZ501266.1	Viruses	Uroviricota	Caudoviricetes					Erwinia phage AH03	GCA_020493745	Erwinia
MZ501269.1	Viruses	Uroviricota	Caudoviricetes			Guernseyvirinae		Pantoea phage AH01	GCA_020493755	Pantoea
MZ501270.1	Viruses	Uroviricota	Caudoviricetes					Pantoea phage AH07	GCA_020493765	Pantoea
MZ501271.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage AH02	GCA_020493775	Pseudomonas
MZ547449.1	Viruses	Uroviricota	Caudoviricetes					Acidovorax phage ACF1	GCA_027582595	Acidovorax
MZ574432.2	Viruses	Uroviricota	Caudoviricetes			Dolichocephalovirinae		Caulobacter phage BL47	GCA_024472195	Caulobacter
MZ574429.2	Viruses	Uroviricota	Caudoviricetes			Dolichocephalovirinae		Caulobacter phage C1	GCA_024472205	Caulobacter
MZ574430.2	Viruses	Uroviricota	Caudoviricetes			Dolichocephalovirinae		Caulobacter phage C2	GCA_024472215	Caulobacter
MZ574431.2	Viruses	Uroviricota	Caudoviricetes			Dolichocephalovirinae		Caulobacter phage J4	GCA_024472225	Caulobacter
MZ574433.1	Viruses	Uroviricota	Caudoviricetes			Dolichocephalovirinae		Caulobacter phage RB23	GCA_024472235	Caulobacter
MZ577097.1	Viruses	Uroviricota	Caudoviricetes					Methylophilales phage Melnitz EXVC044M	GCA_020474745	Methylophilales
MZ577095.1	Viruses	Uroviricota	Caudoviricetes					Methylophilales phage Melnitz-1 EXVC043M	GCA_020474755	Methylophilales
MZ577096.1	Viruses	Uroviricota	Caudoviricetes					Methylophilales phage Melnitz-2 EXVC040M	GCA_020474765	Methylophilales
MZ577098.1	Viruses	Uroviricota	Caudoviricetes					Methylophilales phage Melnitz-3 EXVC039M	GCA_020474775	Methylophilales
MZ568828.1	Viruses	Uroviricota	Caudoviricetes					Shewanella phage vB_SspM_MuM16-2	GCA_020495615	Shewanella
MZ568826.1	Viruses	Uroviricota	Caudoviricetes					Shewanella phage vB_SspS_KASIA	GCA_020493715	Shewanella
MZ568827.1	Viruses	Uroviricota	Caudoviricetes					Shewanella phage vB_SspS_MuM16-1	GCA_020493725	Shewanella
MZ892993.1	Viruses	Uroviricota	Caudoviricetes					Pelagibacter phage HTVC033P	GCA_021460295	Pelagibacter
MZ892987.1	Viruses	Uroviricota	Caudoviricetes					Roseobacter phage CRP-207	GCA_021460305	Roseobacter
MZ892988.1	Viruses	Uroviricota	Caudoviricetes					Roseobacter phage CRP-212	GCA_021460315	Roseobacter
MZ892989.1	Viruses	Uroviricota	Caudoviricetes					Roseobacter phage CRP-235	GCA_021460325	Roseobacter
MZ892990.1	Viruses	Uroviricota	Caudoviricetes					Roseobacter phage CRP-345	GCA_021460335	Roseobacter
MZ892991.1	Viruses	Uroviricota	Caudoviricetes					Roseobacter phage CRP-603	GCA_021460345	Roseobacter
MZ892992.1	Viruses	Uroviricota	Caudoviricetes					Roseobacter phage CRP-738	GCA_021460355	Roseobacter
MZ779063.1	Viruses	Uroviricota	Caudoviricetes					Staphylococcus phage vB_SauM-UFV_DC4	GCA_020496005	Staphylococcus
MZ779062.1	Viruses	Uroviricota	Caudoviricetes					Klebsiella phage pJN2-26	GCA_020489715	Klebsiella
MZ726796.1	Viruses	Uroviricota	Caudoviricetes					Escherichia phage vB_EcoS_ASO78B	GCA_023094125	Escherichia
MZ681515.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Hortense	GCA_020494295	Gordonia
MZ681517.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Dolores	GCA_020494315	Gordonia
KC821626.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phi39:1	GCA_000908015	Cellulophaga
MZ747522.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Klevey	GCA_020490485	Arthrobacter
MZ868718.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage psageK9	GCA_020489775	Pseudomonas
KC821629.1	Viruses	Uroviricota	Caudoviricetes					Cellulophaga phage phi38:2	GCA_002600485	Cellulophaga
OK040171.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage PHB09	GCA_020488325	Pseudomonas
MZ983385.1	Viruses	Uroviricota	Caudoviricetes					Psychrobacillus phage PVJ1	GCA_020491665	Psychrobacillus
OK085710.1	Viruses	Uroviricota	Caudoviricetes					Myxococcus phage Mx4	GCA_020491645	Myxococcus
MZ969012.1	Viruses	Uroviricota	Caudoviricetes			Gracegardnervirinae		Mycobacterium phage Saroj	GCA_020523115	Mycobacterium
MZ955870.1	Viruses	Uroviricota	Caudoviricetes					Glutamicibacter phage BIM BV-113	GCA_020489595	Glutamicibacter
OK247671.1	Viruses	Uroviricota	Caudoviricetes					Clostridium phage vB_CpeS_BG3P	GCA_025435015	Clostridium
OK040794.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Atuin	GCA_020684885	Arthrobacter
OK040780.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Sarge	GCA_020684905	Arthrobacter
OK040786.1	Viruses	Uroviricota	Caudoviricetes					Gordonia phage Kudefre	GCA_020684915	Gordonia
OK040779.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Gretchen	GCA_020684965	Microbacterium
OK040790.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Pumpernickel	GCA_020684995	Microbacterium
OK040793.1	Viruses	Uroviricota	Caudoviricetes					Microbacterium phage Zooman	GCA_020685005	Microbacterium
OK041467.1	Viruses	Uroviricota	Caudoviricetes					Pseudomonas phage PAE2	GCA_020809675	Pseudomonas
OK283618.1	Viruses	Uroviricota	Caudoviricetes			Ounavirinae		Listeria phage LPML1	GCA_020523245	Listeria
OK094664.1	Viruses	Uroviricota	Caudoviricetes					Shewanella phage vB_Sb_QDWS	GCA_020906725	Shewanella
OK042081.1	Viruses	Uroviricota	Caudoviricetes					Yersinia phage vB_YenS_P400	GCA_020528845	Yersinia
OK172329.1	Viruses	Uroviricota	Caudoviricetes					Alcaligenes phage vB_Af_QDWS535	GCA_020523185	Alcaligenes
KC847113.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage PBP180	GCA_004359175	Bacillus
OL396571.1	Viruses	Uroviricota	Caudoviricetes					Pantoea phage PdC23	GCA_021216315	Pantoea
OL455900.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage BaileyBlu	GCA_021870425	Arthrobacter
OL362274.1	Viruses	Uroviricota	Caudoviricetes					Escherichia phage HC6	GCA_023571635	Escherichia
OL362277.1	Viruses	Uroviricota	Caudoviricetes					Klebsiella phage 6991	GCA_023571665	Klebsiella
OL539440.1	Viruses	Uroviricota	Caudoviricetes					Klebsiella phage vB_KaeS_Diencephalon	GCA_021355845	Klebsiella
OL539439.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Carrot	GCA_021355835	Serratia
OL539438.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Swain	GCA_021355825	Serratia
OK562670.1	Viruses	Uroviricota	Caudoviricetes			Queuovirinae		Stenotrophomonas phage vB_SM_ytsc_ply2008005c	GCA_021351835	Stenotrophomonas
OK483199.1	Viruses	Uroviricota	Caudoviricetes					Vibrio phage vB_ValS_VA-RY-4	GCA_021356235	Vibrio
OK500002.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage vB_BanS_Athena	GCA_021355815	Bacillus
OK499972.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage vB_BanS_Chewbecca	GCA_021355545	Bacillus
OK499987.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage vB_BanS_MrDarsey	GCA_021355635	Bacillus
OK499992.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage vB_BanS_Nate	GCA_021355775	Bacillus
OK499994.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage vB_BanS_Skywalker	GCA_021355015	Bacillus
KC688701.1	Viruses	Uroviricota	Caudoviricetes					Croceibacter phage P2559Y	GCA_000915675	Croceibacter
OK499991.1	Viruses	Uroviricota	Caudoviricetes					Bacillus phage vB_BanS_Sophrita	GCA_021355765	Bacillus
OK499971.1	Viruses	Uroviricota	Caudoviricetes					Enterobacter phage vB_EclS_CobraSix	GCA_021355595	Enterobacter
OK999980.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage EastWest	GCA_021216235	Arthrobacter
OK499995.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Tlacuache	GCA_021354795	Serratia
OL799250.1	Viruses	Uroviricota	Caudoviricetes					Streptococcus phage MissF	GCA_021870405	Streptococcus
OL774570.1	Viruses	Uroviricota	Caudoviricetes					Aeromonas phage phiA008	GCA_021497745	Aeromonas
AB823818.1	Viruses	Uroviricota	Caudoviricetes					Thermus phage phi OH2	GCA_000909595	Thermus
OL539456.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_LittleDog	GCA_021355975	Serratia
OL539455.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Niamh	GCA_021355965	Serratia
OL539452.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Opt-155	GCA_021355935	Serratia
OL539441.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_PhooPhighters	GCA_021355855	Serratia
OL539464.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Stoker	GCA_021356025	Serratia
OL539442.1	Viruses	Uroviricota	Caudoviricetes					Serratia phage vB_SmaS_Ulliraptor	GCA_021355865	Serratia
OL742560.1	Viruses	Uroviricota	Caudoviricetes					Arthrobacter phage Lilmac1015	GCA_022211125	Arthrobacter
KF614509.1	Viruses	Uroviricota	Caudoviricetes					Rhizobium phage vB_RleS_L338C	GCA_000916995	Rhizobium
OL774867.1	Viruses	Uroviricota	Caudoviricetes					Streptococcus phage MismyG	GCA_021864335	Streptococcus
OL774871.1	Viruses	Uroviricota	Caudoviricetes					Streptococcus phage MissB1	GCA_021864345	Streptococcus
OL774872.1	Viruses	Uroviricota	Caudoviricetes					Streptococcus phage MissC	GCA_021864365	Streptococcus
OL774874.1	Viruses	Uroviricota	Caudoviricetes					Streptococcus phage MissE1	GCA_021864385	Streptococcus
